AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Requerimiento,Numero
AZ01,1,Chip 1,INFRA,17,3,#000000,0,1,1,1 - AZ01 - 1,0,
AZ01,1,Chip 2,CSCF PL,20,8,#02675F,1,1,1,1 - AZ01 - 1,29,17 de 29
AZ01,1,Chip 2,MTAS-1 PL,28,8,#F7C7AC,1,1,1,1 - AZ01 - 1,13,6 de 13
AZ01,1,Chip 2,INFRA,37,3,#000000,0,1,1,1 - AZ01 - 1,0,
AZ01,2,Chip 1,BGF SC+PL,0,5,#3F48CC,1,1,2,2 - AZ01 - 2,15,1 de 15
AZ01,2,Chip 1,SBG PL,5,10,#00A6A6,1,1,2,2 - AZ01 - 2,14,1 de 14
AZ01,2,Chip 1,INFRA,17,3,#000000,0,1,2,2 - AZ01 - 2,0,
AZ01,2,Chip 2,CSCF PL,20,8,#02675F,1,1,2,2 - AZ01 - 2,29,18 de 29
AZ01,2,Chip 2,MTAS-2 PL,28,8,#FADECE,2,1,2,2 - AZ01 - 2,13,9 de 13
AZ01,2,Chip 2,INFRA,37,3,#000000,0,1,2,2 - AZ01 - 2,0,
AZ01,3,Chip 1,PDRA PL,0,6,#FF7300,1,2,3,3 - AZ01 - 3,12,1 de 12
AZ01,3,Chip 1,SBG PL,6,10,#00A6A6,1,1,3,3 - AZ01 - 3,14,2 de 14
AZ01,3,Chip 1,INFRA,17,3,#000000,0,1,3,3 - AZ01 - 3,0,
AZ01,3,Chip 2,CSCF PL,20,8,#02675F,1,1,3,3 - AZ01 - 3,29,19 de 29
AZ01,3,Chip 2,MTAS-1 PL,28,8,#F7C7AC,1,1,3,3 - AZ01 - 3,13,7 de 13
AZ01,3,Chip 2,INFRA,37,3,#000000,0,1,3,3 - AZ01 - 3,0,
AZ01,4,Chip 1,CSCF PL,0,8,#02675F,1,1,4,4 - AZ01 - 4,29,1 de 29
AZ01,4,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,4,4 - AZ01 - 4,13,1 de 13
AZ01,4,Chip 1,INFRA,17,3,#000000,0,1,4,4 - AZ01 - 4,0,
AZ01,4,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,4,4 - AZ01 - 4,15,8 de 15
AZ01,4,Chip 2,PDRA PL,25,6,#FF7300,1,2,4,4 - AZ01 - 4,12,6 de 12
AZ01,4,Chip 2,PDRA PL,31,6,#FF7300,1,2,4,4 - AZ01 - 4,12,7 de 12
AZ01,4,Chip 2,INFRA,37,3,#000000,0,1,4,4 - AZ01 - 4,0,
AZ01,5,Chip 1,CSCF PL,0,8,#02675F,1,1,5,5 - AZ01 - 5,29,2 de 29
AZ01,5,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,5,5 - AZ01 - 5,13,1 de 13
AZ01,5,Chip 1,INFRA,17,3,#000000,0,1,5,5 - AZ01 - 5,0,
AZ01,5,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,5,5 - AZ01 - 5,15,9 de 15
AZ01,5,Chip 2,SBG PL,25,10,#00A6A6,1,1,5,5 - AZ01 - 5,14,7 de 14
AZ01,5,Chip 2,INFRA,37,3,#000000,0,1,5,5 - AZ01 - 5,0,
AZ01,6,Chip 1,CSCF PL,0,8,#02675F,1,1,6,6 - AZ01 - 6,29,3 de 29
AZ01,6,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,6,6 - AZ01 - 6,13,2 de 13
AZ01,6,Chip 1,INFRA,17,3,#000000,0,1,6,6 - AZ01 - 6,0,
AZ01,6,Chip 2,MTAS-1 PL,20,8,#F7C7AC,1,1,6,6 - AZ01 - 6,13,8 de 13
AZ01,6,Chip 2,CUDB SC,28,8,#004B49,1,1,6,6 - AZ01 - 6,2,1 de 2
AZ01,6,Chip 2,INFRA,37,3,#000000,0,1,6,6 - AZ01 - 6,0,
AZ01,7,Chip 1,BGF SC+PL,0,5,#3F48CC,1,1,7,7 - AZ01 - 7,15,2 de 15
AZ01,7,Chip 1,DRA PL,5,6,#FDD835,1,2,7,7 - AZ01 - 7,9,1 de 9
AZ01,7,Chip 1,DRA PL,11,6,#FDD835,1,2,7,7 - AZ01 - 7,9,2 de 9
AZ01,7,Chip 1,INFRA,17,3,#000000,0,1,7,7 - AZ01 - 7,0,
AZ01,7,Chip 2,CSCF PL,20,8,#02675F,1,1,7,7 - AZ01 - 7,29,20 de 29
AZ01,7,Chip 2,MTAS-1 PL,28,8,#F7C7AC,1,1,7,7 - AZ01 - 7,13,9 de 13
AZ01,7,Chip 2,INFRA,37,3,#000000,0,1,7,7 - AZ01 - 7,0,
AZ01,8,Chip 1,DRA PL,0,6,#FDD835,1,2,8,8 - AZ01 - 8,9,3 de 9
AZ01,8,Chip 1,SBG PL,6,10,#00A6A6,1,1,8,8 - AZ01 - 8,14,3 de 14
AZ01,8,Chip 1,INFRA,17,3,#000000,0,1,8,8 - AZ01 - 8,0,
AZ01,8,Chip 2,CSCF PL,20,8,#02675F,1,1,8,8 - AZ01 - 8,29,21 de 29
AZ01,8,Chip 2,MTAS-1 PL,28,8,#F7C7AC,1,1,8,8 - AZ01 - 8,13,10 de 13
AZ01,8,Chip 2,INFRA,37,3,#000000,0,1,8,8 - AZ01 - 8,0,
AZ01,9,Chip 1,CSCF PL,0,8,#02675F,1,1,9,9 - AZ01 - 9,29,4 de 29
AZ01,9,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,9,9 - AZ01 - 9,13,3 de 13
AZ01,9,Chip 1,INFRA,17,3,#000000,0,1,9,9 - AZ01 - 9,0,
AZ01,9,Chip 2,MRF SC+PL,20,17,#FF1493,1,1,9,9 - AZ01 - 9,3,2 de 3
AZ01,9,Chip 2,INFRA,37,3,#000000,0,1,9,9 - AZ01 - 9,0,
AZ01,10,Chip 1,CSCF PL,0,8,#02675F,1,1,10,10 - AZ01 - 10,29,5 de 29
AZ01,10,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,10,10 - AZ01 - 10,13,2 de 13
AZ01,10,Chip 1,INFRA,17,3,#000000,0,1,10,10 - AZ01 - 10,0,
AZ01,10,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,10,10 - AZ01 - 10,15,10 de 15
AZ01,10,Chip 2,SBG PL,25,10,#00A6A6,1,1,10,10 - AZ01 - 10,14,8 de 14
AZ01,10,Chip 2,INFRA,37,3,#000000,0,1,10,10 - AZ01 - 10,0,
AZ01,11,Chip 1,CSCF PL,0,8,#02675F,1,1,11,11 - AZ01 - 11,29,6 de 29
AZ01,11,Chip 1,INFRA,17,3,#000000,0,1,11,11 - AZ01 - 11,0,
AZ01,11,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,11,11 - AZ01 - 11,15,11 de 15
AZ01,11,Chip 2,SBG PL,25,10,#00A6A6,1,1,11,11 - AZ01 - 11,14,9 de 14
AZ01,11,Chip 2,INFRA,37,3,#000000,0,1,11,11 - AZ01 - 11,0,
AZ01,12,Chip 1,BGF SC+PL,0,5,#3F48CC,1,1,12,12 - AZ01 - 12,15,3 de 15
AZ01,12,Chip 1,DRA PL,5,6,#FDD835,1,2,12,12 - AZ01 - 12,9,4 de 9
AZ01,12,Chip 1,PDRA PL,11,6,#FF7300,1,2,12,12 - AZ01 - 12,12,2 de 12
AZ01,12,Chip 1,INFRA,17,3,#000000,0,1,12,12 - AZ01 - 12,0,
