AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Numero
AZ01,1,Chip 1,CSCF PL,0,8,#02675F,1,1,1,1 - AZ01 - 1,1 de 1
AZ01,1,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,1,1 - AZ01 - 1,1 de 1
AZ01,1,Chip 1,INFRA,17,3,#000000,0,1,1,1 - AZ01 - 1,
AZ01,1,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,1,1 - AZ01 - 1,1 de 1
AZ01,1,Chip 2,DRA PL,25,6,#FDD835,1,2,1,1 - AZ01 - 1,1 de 1
AZ01,1,Chip 2,PDRA PL,31,6,#FF7300,1,2,1,1 - AZ01 - 1,1 de 1
AZ01,1,Chip 2,INFRA,37,3,#000000,0,1,1,1 - AZ01 - 1,
AZ01,2,Chip 1,INFRA,17,3,#000000,0,1,2,2 - AZ01 - 2,
AZ01,2,Chip 2,CSCF PL,20,8,#02675F,1,1,2,2 - AZ01 - 2,1 de 1
AZ01,2,Chip 2,MTAS-1 PL,28,8,#F7C7AC,1,1,2,2 - AZ01 - 2,1 de 1
AZ01,2,Chip 2,INFRA,37,3,#000000,0,1,2,2 - AZ01 - 2,
AZ01,3,Chip 1,CSCF PL,0,8,#02675F,1,1,3,3 - AZ01 - 3,1 de 1
AZ01,3,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,3,3 - AZ01 - 3,1 de 1
AZ01,3,Chip 1,INFRA,17,3,#000000,0,1,3,3 - AZ01 - 3,
AZ01,3,Chip 2,INFRA,37,3,#000000,0,1,3,3 - AZ01 - 3,
AZ01,4,Chip 1,CSCF PL,0,8,#02675F,1,1,4,4 - AZ01 - 4,1 de 1
AZ01,4,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,4,4 - AZ01 - 4,1 de 1
AZ01,4,Chip 1,INFRA,17,3,#000000,0,1,4,4 - AZ01 - 4,
AZ01,4,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,4,4 - AZ01 - 4,1 de 1
AZ01,4,Chip 2,SBG PL,25,10,#00A6A6,1,1,4,4 - AZ01 - 4,1 de 1
AZ01,4,Chip 2,INFRA,37,3,#000000,0,1,4,4 - AZ01 - 4,
AZ01,5,Chip 1,BGF SC+PL,0,5,#3F48CC,1,1,5,5 - AZ01 - 5,1 de 1
AZ01,5,Chip 1,SBG PL,5,10,#00A6A6,1,1,5,5 - AZ01 - 5,1 de 1
AZ01,5,Chip 1,INFRA,17,3,#000000,0,1,5,5 - AZ01 - 5,
AZ01,5,Chip 2,CSCF PL,20,8,#02675F,1,1,5,5 - AZ01 - 5,1 de 1
AZ01,5,Chip 2,MTAS-1 PL,28,8,#F7C7AC,1,1,5,5 - AZ01 - 5,1 de 1
AZ01,5,Chip 2,INFRA,37,3,#000000,0,1,5,5 - AZ01 - 5,
AZ01,6,Chip 1,DRA PL,0,6,#FDD835,1,2,6,6 - AZ01 - 6,1 de 1
AZ01,6,Chip 1,SBG PL,6,10,#00A6A6,1,1,6,6 - AZ01 - 6,1 de 1
AZ01,6,Chip 1,INFRA,17,3,#000000,0,1,6,6 - AZ01 - 6,
AZ01,6,Chip 2,CSCF PL,20,8,#02675F,1,1,6,6 - AZ01 - 6,1 de 1
AZ01,6,Chip 2,MTAS-1 PL,28,8,#F7C7AC,1,1,6,6 - AZ01 - 6,1 de 1
AZ01,6,Chip 2,INFRA,37,3,#000000,0,1,6,6 - AZ01 - 6,
AZ01,7,Chip 1,MRF SC+PL,0,17,#FF1493,1,1,7,7 - AZ01 - 7,1 de 1
AZ01,7,Chip 1,INFRA,17,3,#000000,0,1,7,7 - AZ01 - 7,
AZ01,7,Chip 2,CSCF PL,20,8,#02675F,1,1,7,7 - AZ01 - 7,1 de 1
AZ01,7,Chip 2,MTAS-2 PL,28,8,#FADECE,2,1,7,7 - AZ01 - 7,1 de 1
AZ01,7,Chip 2,INFRA,37,3,#000000,0,1,7,7 - AZ01 - 7,
AZ01,8,Chip 1,CSCF PL,0,8,#02675F,1,1,8,8 - AZ01 - 8,1 de 1
AZ01,8,Chip 1,PDRA PL,8,6,#FF7300,1,2,8,8 - AZ01 - 8,1 de 1
AZ01,8,Chip 1,INFRA,17,3,#000000,0,1,8,8 - AZ01 - 8,
AZ01,8,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,8,8 - AZ01 - 8,1 de 1
AZ01,8,Chip 2,DRA PL,25,6,#FDD835,1,2,8,8 - AZ01 - 8,1 de 1
AZ01,8,Chip 2,PDRA PL,31,6,#FF7300,1,2,8,8 - AZ01 - 8,1 de 1
AZ01,8,Chip 2,INFRA,37,3,#000000,0,1,8,8 - AZ01 - 8,
AZ01,9,Chip 1,MRF SC+PL,0,17,#FF1493,1,1,9,9 - AZ01 - 9,1 de 1
AZ01,9,Chip 1,INFRA,17,3,#000000,0,1,9,9 - AZ01 - 9,
AZ01,9,Chip 2,CSCF PL,20,8,#02675F,1,1,9,9 - AZ01 - 9,1 de 1
AZ01,9,Chip 2,MTAS-2 PL,28,8,#FADECE,2,1,9,9 - AZ01 - 9,1 de 1
AZ01,9,Chip 2,INFRA,37,3,#000000,0,1,9,9 - AZ01 - 9,
AZ01,10,Chip 1,CSCF PL,0,8,#02675F,1,1,10,10 - AZ01 - 10,1 de 1
AZ01,10,Chip 1,CUDB SC,8,8,#004B49,1,1,10,10 - AZ01 - 10,1 de 1
AZ01,10,Chip 1,INFRA,17,3,#000000,0,1,10,10 - AZ01 - 10,
AZ01,10,Chip 2,MRF SC+PL,20,17,#FF1493,1,1,10,10 - AZ01 - 10,1 de 1
AZ01,10,Chip 2,INFRA,37,3,#000000,0,1,10,10 - AZ01 - 10,
AZ01,11,Chip 1,PDRA PL,0,6,#FF7300,1,2,11,11 - AZ01 - 11,1 de 1
AZ01,11,Chip 1,SBG PL,6,10,#00A6A6,1,1,11,11 - AZ01 - 11,1 de 1
AZ01,11,Chip 1,INFRA,17,3,#000000,0,1,11,11 - AZ01 - 11,
AZ01,11,Chip 2,CSCF PL,20,8,#02675F,1,1,11,11 - AZ01 - 11,1 de 1
AZ01,11,Chip 2,PDRA PL,28,6,#FF7300,1,2,11,11 - AZ01 - 11,1 de 1
AZ01,11,Chip 2,INFRA,37,3,#000000,0,1,11,11 - AZ01 - 11,
AZ01,12,Chip 1,CSCF PL,0,8,#02675F,1,1,12,12 - AZ01 - 12,1 de 1
AZ01,12,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,12,12 - AZ01 - 12,1 de 1
AZ01,12,Chip 1,INFRA,17,3,#000000,0,1,12,12 - AZ01 - 12,
AZ01,12,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,12,12 - AZ01 - 12,1 de 1
AZ01,12,Chip 2,SBG PL,25,10,#00A6A6,1,1,12,12 - AZ01 - 12,1 de 1
AZ01,12,Chip 2,INFRA,37,3,#000000,0,1,12,12 - AZ01 - 12,
AZ01,13,Chip 1,CSCF PL,0,8,#02675F,1,1,13,13 - AZ01 - 13,1 de 1
AZ01,13,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,13,13 - AZ01 - 13,1 de 1
AZ01,13,Chip 1,INFRA,17,3,#000000,0,1,13,13 - AZ01 - 13,
AZ01,13,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,13,13 - AZ01 - 13,1 de 1
AZ01,13,Chip 2,SBG PL,25,10,#00A6A6,1,1,13,13 - AZ01 - 13,1 de 1
AZ01,13,Chip 2,INFRA,37,3,#000000,0,1,13,13 - AZ01 - 13,
AZ01,14,Chip 1,INFRA,17,3,#000000,0,1,14,14 - AZ01 - 14,
AZ01,14,Chip 2,CSCF PL,20,8,#02675F,1,1,14,14 - AZ01 - 14,1 de 1
