AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Requerimiento,Numero
AZ01,1,Chip 1,INFRA,17,3,#000000,0,1,1,1 - AZ01 - 1,0,
AZ01,1,Chip 2,CSCF PL,20,8,#C21807,1,1,1,1 - AZ01 - 1,26,13 de 26
AZ01,1,Chip 2,MTAS PL,28,8,#27408B,1,1,1,1 - AZ01 - 1,24,14 de 24
AZ01,1,Chip 2,INFRA,37,3,#000000,0,1,1,1 - AZ01 - 1,0,
AZ01,2,Chip 1,BGF SC+PL,0,5,#FF1493,1,1,2,2 - AZ01 - 2,13,1 de 13
AZ01,2,Chip 1,SBG PL,5,10,#5C4033,1,1,2,2 - AZ01 - 2,12,1 de 12
AZ01,2,Chip 1,INFRA,17,3,#000000,0,1,2,2 - AZ01 - 2,0,
AZ01,2,Chip 2,CSCF PL,20,8,#C21807,1,1,2,2 - AZ01 - 2,26,14 de 26
AZ01,2,Chip 2,MTAS PL,28,8,#27408B,1,1,2,2 - AZ01 - 2,24,15 de 24
AZ01,2,Chip 2,INFRA,37,3,#000000,0,1,2,2 - AZ01 - 2,0,
AZ01,3,Chip 1,BGF SC+PL,0,5,#FF1493,1,1,3,3 - AZ01 - 3,13,2 de 13
AZ01,3,Chip 1,SBG PL,5,10,#5C4033,1,1,3,3 - AZ01 - 3,12,2 de 12
AZ01,3,Chip 1,INFRA,17,3,#000000,0,1,3,3 - AZ01 - 3,0,
AZ01,3,Chip 2,CSCF PL,20,8,#C21807,1,1,3,3 - AZ01 - 3,26,15 de 26
AZ01,3,Chip 2,MTAS PL,28,8,#27408B,1,1,3,3 - AZ01 - 3,24,16 de 24
AZ01,3,Chip 2,INFRA,37,3,#000000,0,1,3,3 - AZ01 - 3,0,
AZ01,4,Chip 1,BGF SC+PL,0,5,#FF1493,1,1,4,4 - AZ01 - 4,13,3 de 13
AZ01,4,Chip 1,SBG PL,5,10,#5C4033,1,1,4,4 - AZ01 - 4,12,3 de 12
AZ01,4,Chip 1,INFRA,17,3,#000000,0,1,4,4 - AZ01 - 4,0,
AZ01,4,Chip 2,CSCF PL,20,8,#C21807,1,1,4,4 - AZ01 - 4,26,16 de 26
AZ01,4,Chip 2,MTAS PL,28,8,#27408B,1,1,4,4 - AZ01 - 4,24,17 de 24
AZ01,4,Chip 2,INFRA,37,3,#000000,0,1,4,4 - AZ01 - 4,0,
AZ01,5,Chip 1,BGF SC+PL,0,5,#FF1493,1,1,5,5 - AZ01 - 5,13,4 de 13
AZ01,5,Chip 1,SBG PL,5,10,#5C4033,1,1,5,5 - AZ01 - 5,12,4 de 12
AZ01,5,Chip 1,INFRA,17,3,#000000,0,1,5,5 - AZ01 - 5,0,
AZ01,5,Chip 2,CSCF PL,20,8,#C21807,1,1,5,5 - AZ01 - 5,26,17 de 26
AZ01,5,Chip 2,MTAS PL,28,8,#27408B,1,1,5,5 - AZ01 - 5,24,18 de 24
AZ01,5,Chip 2,INFRA,37,3,#000000,0,1,5,5 - AZ01 - 5,0,
AZ01,6,Chip 1,BGF SC+PL,0,5,#FF1493,1,1,6,6 - AZ01 - 6,13,5 de 13
AZ01,6,Chip 1,SBG PL,5,10,#5C4033,1,1,6,6 - AZ01 - 6,12,5 de 12
AZ01,6,Chip 1,INFRA,17,3,#000000,0,1,6,6 - AZ01 - 6,0,
AZ01,6,Chip 2,CSCF PL,20,8,#C21807,1,1,6,6 - AZ01 - 6,26,18 de 26
AZ01,6,Chip 2,DRA PL,28,6,#FF0033,1,2,6,6 - AZ01 - 6,9,4 de 9
